key,item_id,rarity,name,category,image_num,color,brand,type,like,outfit_id,volume,series_name,term_start,term_end
jr0_01,JR0-01,JR,ときめきのピュアジュエルドレス,ワンピース,,白,sweet_honey,ラブリー,1500,ときめきのピュアジュエル,,ジュエルコーデ,,
jr0_02,JR0-02,JR,ときめきのピュアジュエルシューズ,シューズ,,白,sweet_honey,ラブリー,750,ときめきのピュアジュエル,,ジュエルコーデ,,
jr0_03,JR0-03,JR,ときめきのピュアジュエルヘアアクセ,ヘアアクセ,,白,sweet_honey,ラブリー,750,ときめきのピュアジュエル,,ジュエルコーデ,,
jr0_04,JR0-04,JR,やさしさのピュアジュエルドレス,ワンピース,,白,secret_alice,クール,1500,やさしさのピュアジュエル,,ジュエルコーデ,,
jr0_05,JR0-05,JR,やさしさのピュアジュエルシューズ,シューズ,,白,secret_alice,クール,750,やさしさのピュアジュエル,,ジュエルコーデ,,
jr0_06,JR0-06,JR,やさしさのピュアジュエルヘアアクセ,ヘアアクセ,,白,secret_alice,クール,750,やさしさのピュアジュエル,,ジュエルコーデ,,
jr0_07,JR0-07,JR,ちしきのピュアジュエルドレス,ワンピース,,白,universe_queen,クール,1500,ちしきのピュアジュエル,,ジュエルコーデ,,
jr0_08,JR0-08,JR,ちしきのピュアジュエルシューズ,シューズ,,白,universe_queen,クール,750,ちしきのピュアジュエル,,ジュエルコーデ,,
jr0_09,JR0-09,JR,ちしきのピュアジュエルヘアアクセ,ヘアアクセ,,白,universe_queen,クール,750,ちしきのピュアジュエル,,ジュエルコーデ,,
jr0_10,JR0-10,JR,じゅんしんのピュアジュエルドレス,ワンピース,,白,dance_and_street,クール,1500,じゅんしんのピュアジュエル,,ジュエルコーデ,,
jr0_11,JR0-11,JR,じゅんしんのピュアジュエルシューズ,シューズ,,白,dance_and_street,クール,750,じゅんしんのピュアジュエル,,ジュエルコーデ,,
jr0_12,JR0-12,JR,じゅんしんのピュアジュエルヘアアクセ,ヘアアクセ,,白,dance_and_street,クール,750,じゅんしんのピュアジュエル,,ジュエルコーデ,,
jr0_13,JR0-13,JR,しあわせのピュアジュエルドレス,ワンピース,,白,cutie_happiness,ラブリー,1500,しあわせのピュアジュエル,,ジュエルコーデ,,
jr0_14,JR0-14,JR,しあわせのピュアジュエルシューズ,シューズ,,白,cutie_happiness,ラブリー,750,しあわせのピュアジュエル,,ジュエルコーデ,,
jr0_15,JR0-15,JR,しあわせのピュアジュエルヘアアクセ,ヘアアクセ,,白,cutie_happiness,ラブリー,750,しあわせのピュアジュエル,,ジュエルコーデ,,
jr0_16,JR0-16,JR,じょうねつのピュアジュエルドレス,ワンピース,,白,romance_beat,クール,1500,じょうねつのピュアジュエル,,ジュエルコーデ,,
jr0_17,JR0-17,JR,じょうねつのピュアジュエルシューズ,シューズ,,白,romance_beat,クール,750,じょうねつのピュアジュエル,,ジュエルコーデ,,
jr0_18,JR0-18,JR,じょうねつのピュアジュエルヘアアクセ,ヘアアクセ,,白,romance_beat,クール,750,じょうねつのピュアジュエル,,ジュエルコーデ,,
jr0_19,JR0-19,JR,きぼうのピュアジュエルドレス,ワンピース,,白,precious_muse,プレミアム,1500,きぼうのピュアジュエル,,ジュエルコーデ,,
jr0_20,JR0-20,JR,きぼうのピュアジュエルシューズ,シューズ,,白,precious_muse,プレミアム,750,きぼうのピュアジュエル,,ジュエルコーデ,,
jr0_21,JR0-21,JR,きぼうのピュアジュエルヘアアクセ,ヘアアクセ,,白,precious_muse,プレミアム,750,きぼうのピュアジュエル,,ジュエルコーデ,,
jr0_22,JR0-22,JR,せいぎのピュアジュエルドレス,ワンピース,,白,dolly_waltz,ラブリー,1500,せいぎのピュアジュエル,,ジュエルコーデ,,
jr0_23,JR0-23,JR,せいぎのピュアジュエルシューズ,シューズ,,白,dolly_waltz,ラブリー,750,せいぎのピュアジュエル,,ジュエルコーデ,,
jr0_24,JR0-24,JR,せいぎのピュアジュエルヘアアクセ,ヘアアクセ,,白,dolly_waltz,ラブリー,750,せいぎのピュアジュエル,,ジュエルコーデ,,
jr0_25,JR0-25,JR,ゆうじょうのピュアジュエルドレス,ワンピース,,白,milky_rainbow,ポップ,1500,ゆうじょうのピュアジュエル,,ジュエルコーデ,,
jr0_26,JR0-26,JR,ゆうじょうのピュアジュエルシューズ,シューズ,,白,milky_rainbow,ポップ,750,ゆうじょうのピュアジュエル,,ジュエルコーデ,,
jr0_27,JR0-27,JR,ゆうじょうのピュアジュエルヘアアクセ,ヘアアクセ,,白,milky_rainbow,ポップ,750,ゆうじょうのピュアジュエル,,ジュエルコーデ,,
jr0_28,JR0-28,JR,ゆうきのピュアジュエルドレス,ワンピース,,白,girls_yell,ポップ,1500,ゆうきのピュアジュエル,,ジュエルコーデ,,
jr0_29,JR0-29,JR,ゆうきのピュアジュエルシューズ,シューズ,,白,girls_yell,ポップ,750,ゆうきのピュアジュエル,,ジュエルコーデ,,
jr0_30,JR0-30,JR,ゆうきのピュアジュエルヘアアクセ,ヘアアクセ,,白,girls_yell,ポップ,750,ゆうきのピュアジュエル,,ジュエルコーデ,,
jr1_01,JR1-01,JR,ときめきのピンクジュエルドレス,ワンピース,65000,ピンク,sweet_honey,ラブリー,1500,ときめきのピンクジュエル,ジュエル1弾,ジュエルコーデ,2019-04-04,2019-05-22
jr1_02,JR1-02,JR,ときめきのピンクジュエルシューズ,シューズ,65001,ピンク,sweet_honey,ラブリー,750,ときめきのピンクジュエル,ジュエル1弾,ジュエルコーデ,2019-04-04,2019-05-22
jr1_03,JR1-03,JR,ときめきのピンクジュエルヘアアクセ,ヘアアクセ,65002,ピンク,sweet_honey,ラブリー,750,ときめきのピンクジュエル,ジュエル1弾,ジュエルコーデ,2019-04-04,2019-05-22
jr1_04,JR1-04,JR,ときめきのイエロージュエルドレス,ワンピース,,黄,sweet_honey,ラブリー,1500,ときめきのイエロージュエル,ジュエル1弾,ジュエルコーデ,2019-04-04,2019-05-22
jr1_05,JR1-05,JR,ときめきのイエロージュエルシューズ,シューズ,,黄,sweet_honey,ラブリー,750,ときめきのイエロージュエル,ジュエル1弾,ジュエルコーデ,2019-04-04,2019-05-22
jr1_06,JR1-06,JR,ときめきのイエロージュエルヘアアクセ,ヘアアクセ,,黄,sweet_honey,ラブリー,750,ときめきのイエロージュエル,ジュエル1弾,ジュエルコーデ,2019-04-04,2019-05-22
